"Title","Fournisseur","Adresse_Fournisseur","CodePostal_Fournisseur","Ville_Fournisseur","Province_Fournisseur","Pays_Fournisseur","Telephone_Fournisseur","Fax_Fournisseur","Contact_Fournisseur","Email_Fournisseur","Transport_Fournisseur"
"2","Cartonek","1332 Bd Vachon N","1N3","Sainte-Marie","QC","Canada","418-387-4003",,,,
"3","Industries Miratech","900 Bd Michèle-Bohec #101","J7C 5E2","Blainville","QC","Canada","450-939-5289",,,,
"4","Les Attaches Viscan","1595 Rue Lépine","J6E 4B7","Joliette","QC","Canada","450-760-2992",,,"lyergeau@viscan.ca","Livraison"
"5","Les Emballages Carrousel","905, rue Philippe-Paradis","G1N 4E3","Québec","QC","Canada","418-683-7202",,,,"Livraison"
"6","Groupe Polyalto","3875 RUE JEAN MARCHAND","G2C 2J2","Québec","QC","Canada","418-847-8311",,"Mathieu Boivin","MATHIEU.BOIVIN@POLYALTO.COM","Cueillette"
"7","Acier Picard","3000 rue de l’Etchemin Lévis","G6W 7X6","Lévis","QC","Canada","418-834-8300",,,,
"8","LB Laser","425 3E AVENUE SUITE 300","G6W 5M6","Lévis","QC","Canada","418-834-3013",,,,"Cueillette"
"9","Euro Architectural Components","9015 Champ d’Eau","H1P 3M3","Montréal","QC","Canada","1-866-574-7979","514-325-7974","Caroline Nadeau","carolinenadeau@euroeac.com","Livraison"
"10","Everest Extrusion","870 Rue Notre-Dame","G0X 1C0","Champlain","QC","Canada","819-383-5160",,"Guy Aubin","guyaubin63@hotmail.com",
"11","Aiguisage Rousseau","1005, av. Bergeron","G0S 1Z0","St-Agapit","QC","Canada","418-888-5646","418-888-4084",,"info@aiguisage-rousseau.com",
"12","Boulons & Écrous A.M. inc.","2173, 5e rue","G6W 5M6","Lévis","QC","Canada","418-839-5212","418-839-1230",,"boulonsetecrousam@gmail.com",
"13","Broderie SA-MI","2685, Route Kennedy C.P. 66","G0R 3E0","Saint-Henri","QC","Canada","418-882-5272",,,,
"14","Buropro Citation inc.","765, Boul. René-Lévesque","J2C 0G1","Drummondville","QC","Canada","1-800-263-9775",,,,
"15","Canac","475, boul. Pierre-Bertrand","G1M 3T8","Québec","QC","Canada","418-687-2960",,,,
"16","Extrême fibre de verre","A-1006, avenue Bergeron","G0S 1Z0","St-Agapit","QC","Canada","418-888-1300",,,,
"17","Extrucan inc.","2155, rue Canadien","J2C 7V9","Drummondville","QC","Canada","819-477-7430",,,,
"18","Fixatech inc.","1010 route des rivières, Local 100","G7A 2V1","Lévis","QC","Canada","418-871-1211",,,"commandes@fixatech.com",
"19","Fonderie Fondalco inc.","2485, Ave Vallée, C.P. 36","G6L 2Y6","Plessisville","QC","Canada","819-362-3443","819-362-9130",,,
"20","G. Deschênes & Fils Inc.","621, Boulevard St-Laurent Est","J5V 1J1","Louiseville","QC","Canada","819-228-2795","819-228-2796",,,
"21","Groupeetr","110-1130 boul. Charest Ouest","G1N 2E2","Québec","QC","Canada","418-658-8122","418-658-8171",,,
"22","Hydro Extrusion Canada Inc.","325 rue Avro","H9R 5W3","Pointe Claire","QC","Canada",,,,,
"23","Les Agences Angelo D'Anello inc.","6760 Marie-Victorin","H1G 2J4","Montréal-Nord","QC","Canada","514-328-5999",,,,
"24","Les Emballages E.B. Ltee","100 Avenue Lafontaine","G0N 1G0","East Broughton","QC","Canada","418-427-2177",,,"info@emballageseb.ca",
"25","Les Métaux Pressés Québec inc.","835, avenue Godin","G1M 2W8","Québec","QC","Canada","418-687-1590",,"Éric Jobin",,
"26","Location Luco inc.","1207, chemin Industriel","G7A 1A8","Lévis","QC","Canada",,,,,
"27","McMEL","500 Isidore-Dagenais","J0K3H0","St-Roch de l'Achigan","QC","Canada","450-588-2415","450-588-6398",,,
