"Title","Couleur_Piece","Categorie_Piece","Fournisseur_Piece","Unite_Piece","Code_Piece","Description_Piece","Inventaire_Piece","Prix_Piece","Emplacement","InventaireEmplacement1","PartiPeinture","PointCommande","Emplacement2","InventaireEmplacement2","PiecePeinte","Code_Piece_NonPeinte","DateDerniereTransaction","Achat_fait"
"1","Non-Peinte","Bases et caps","Everest Extrusion","Unité","BGARD-175VDCNP","Base 1 3/4"" Non peinte","561","0","Magasin","561","0","4,000",,"0","False",,"2022-11-24","False"
"2","Noir","Bases et caps","Série act peinture inc.","Unité","BGARD-175VDCNO","Base 1 3/4"" Noire","7,456",,"Magasin","7,456","0","1,800",,"0","Vrai","BGARD-175VDCNP",,"False"
"3","Argile","Bases et caps","Série act peinture inc.","Unité","BGARD-175VDCAR","Base 1 3/4"" Argile","124",,"Magasin","124",,"50",,"0","Vrai","BGARD-175VDCNP",,"False"
"4","Brun commercial","Bases et caps","Série act peinture inc.","Unité","BGARD-175VDCBC","Base 1 3/4"" Brun commercial","348",,"Magasin","348","0","150",,"0","Vrai","BGARD-175VDCNP",,"False"
"5","Blanc","Bases et caps","Série act peinture inc.","Unité","BGARD-175VDCBL","Base 1 3/4"" Blanche","384",,"Magasin","384","0","600",,"0","Vrai","BGARD-175VDCNP",,"False"
"6","Gris charbon","Bases et caps","Série act peinture inc.","Unité","BGARD-175VDCGC","Base 1 3/4"" Gris charbon","180",,"Magasin","180","0","200",,"0","Vrai","BGARD-175VDCNP",,"False"
"7","Argile","Bases et caps","Série act peinture inc.","Unité","BGARD-300VDCAR","Base 3"" Argile","140",,"Magasin","140","0","50",,,"Vrai","BGARD-300VDCNP",,"False"
"8","Brun commercial","Bases et caps","Série act peinture inc.","Unité","BGARD-300VDCBC","Base 3"" Brun commercial","0",,"Magasin","0","0","80",,"0","Vrai","BGARD-300VDCNP",,"False"
"9","Blanc","Bases et caps","Série act peinture inc.","Unité","BGARD-300VDCBL","Base 3"" Blanche","212",,"Magasin","212","0","200",,"0","Vrai","BGARD-300VDCNP",,"False"
"10","Gris charbon","Bases et caps","Série act peinture inc.","Unité","BGARD-300VDCGC","Base 3"" Gris charbon","96",,"Magasin","96","0","60",,"0","Vrai","BGARD-300VDCNP",,"False"
"11","Noir","Bases et caps","Série act peinture inc.","Unité","BGARD-300VDCNO","Base 3"" Noire","480",,"Magasin","480","0","350",,"0","Vrai","BGARD-300VDCNP",,"False"
"12","Non-Peinte","Bases et caps","Everest Extrusion","Unité","BGARD-300VDCNP","Base 3"" Non peinte","1,128",,"Magasin","1,128","0","1,200",,,"False",,,"False"
"13","Argile","Bases et caps","Série act peinture inc.","Unité","CGARD-175DCAR","Cap 1 3/4"" Argile","0",,"Magasin","0","0","60",,"0","Vrai","CGARD-175DCNP",,"False"
"14","Brun commercial","Bases et caps","Série act peinture inc.","Unité","CGARD-175DCBC","Cap 1 3/4"" Brun commercial","200",,"Magasin","200","0","150",,"0","Vrai","CGARD-175DCNP",,"False"
"15","Blanc","Bases et caps","Série act peinture inc.","Unité","CGARD-175DCBL","Cap 1 3/4"" Blanc","144",,"Magasin","144","0","450",,"0","Vrai","CGARD-175DCNP",,"False"
"16","Gris charbon","Bases et caps","Série act peinture inc.","Unité","CGARD-175DCGC","Cap 1 3/4"" Gris charbon","0",,"Magasin","0","100","200",,"0","Vrai","CGARD-175DCNP",,"False"
"17","Noir","Bases et caps","Série act peinture inc.","Unité","CGARD-175DCNO","Cap 1 3/4"" Noir","5,040",,"Magasin","5,040","0","1,700",,"0","Vrai","CGARD-175DCNP",,"False"
"18","Non-Peinte","Bases et caps","Everest Extrusion","Unité","CGARD-175DCNP","Cap 1 3/4"" Non peint","2,250",,"Magasin","2,150","100","3,500",,"0","False",,,"False"
"19","Argile","Bases et caps","Série act peinture inc.","Unité","CGARD-300DCAR","Cap 3"" Argile","200",,"Magasin","200","0","45",,,"Vrai","CGARD-300DCNP",,"False"
"20","Brun commercial","Bases et caps","Série act peinture inc.","Unité","CGARD-300DCBC","Cap 3"" Brun commercial","120",,"Magasin","120","0","75",,"0","Vrai","CGARD-300DCNP",,"False"
"21","Blanc","Bases et caps","Série act peinture inc.","Unité","CGARD-300DCBL","Cap 3"" Blanc","520",,"Magasin","520","0","200",,"0","Vrai","CGARD-300DCNP",,"False"
"22","Gris charbon","Bases et caps","Série act peinture inc.","Unité","CGARD-300DCGC","Cap 3"" Gris charbon","120",,"Magasin","120","0","20",,"0","Vrai","CGARD-300DCNP",,"False"
"23","Noir","Bases et caps","Série act peinture inc.","Unité","CGARD-300DCNO","Cap 3"" Noir","1,034",,"Magasin","1,034","0","300",,"0","Vrai","CGARD-300DCNP",,"False"
"24","Non-peinte","Bases et caps","Everest Extrusion","Unité","CGARD-300DCNP","Cap 3"" Non peint","986",,"Magasin","986","0","1,100",,,"False",,,"False"
"25",,"Vis","Les Attaches Viscan","Boîte de 7000","VS19.0808CA","Vis à barrotin #8 x 5/8"" (barrotin)","3",,"Magasin","1",,"5",,"0","False",,,"False"
"26",,"Vis","Les Attaches Viscan","Boîte de 1500","VS27.1411","Vis base poteaux 1''  #14 x 1""","7",,"Magasin","7",,"5",,"0","False",,,"False"
"27",,"Vis","Les Attaches Viscan","Boîte de 1000","VS27.1415","Vis 1 1/2 pour Équerre  #14 x 1 1/2""","4","4","Magasin","4",,"10",,"0","False",,,"False"
"28","SS","Vis","Les Attaches Viscan","Boîte","VS20.0809CAV+","Vis auto perçante pour U","2",,"Magasin","2",,"0",,"0","False",,,"False"
"29",,"Vis","Les Attaches Viscan","Boîte de 7000","VS17.0809CA","Vis pour barrotins de descente #8 x 3/4""","3",,"Magasin","3",,"3",,"0","False",,,"False"
"30",,"Vis","Les Attaches Viscan","Boîte de 700","VS27.1419","Vis pour base de poteaux 2''  #14 x 2""","5",,"Magasin","5",,"8",,"0","False",,,"False"
"31",,"Emballage","Les Emballages Carrousel","Rouleau","5640337","Pellicule plastique 18"" x 1500' (4rlx/boîte)","5",,"Magasin","5",,"2",,"0","False",,,"False"
"35",,"Barrière","Les Attaches Viscan","Unité","AQUALATCHNO","Aqualatch Noir","0",,"Magasin","0",,"25",,"0","False",,,"False"
"37",,"Vis","Les Attaches Viscan","Unité","VRJ61644","Douille allongée (Vendu en boîte de 10)","70",,"Magasin","70",,"25",,"0","False",,,"False"
"38",,"Vis","Les Emballages E.B. Ltee","Rouleau","Polytubing 12""","Polytubing 12"" Clair","2",,"Magasin","2",,"1",,"0","False",,,"False"
"39",,"Emballage","Les Emballages Carrousel","Rouleau","9741068","Courroie plastique 12mm x 9900' blanc","2",,"Magasin","2",,"1",,"0","False",,,"False"
"40",,"Emballage","Les Emballages Carrousel","Rouleau","Ruban clair 48mm","Ruban clair 48mm x 132mm (48rlx/boîte)","19",,"Magasin","19",,"10",,"0","False",,,"False"
"41",,"Vis","Les Attaches Viscan","Boîte de 1000","VS30-1415V","Vis autopercente #14 x 1 1/2""","1","1","Magasin","1",,"1",,,"False",,,"False"
"42",,"Vis","Les Attaches Viscan","Boîte de 500","VS27.1423 ","Vis #14 x 3""","8",,"Magasin","8",,"4",,"0","False",,,"False"
"44",,"Emballage","Les Emballages Carrousel","Rouleau","5545903","Pellicule plastique 3"" x 1000' (18rlx/boîte)","4",,"Magasin","4",,"9",,"0","False",,,"False"
"45",,"Vis","RICHELIEU","Unité","Bec de cane","Bec de cane","2",,"Magasin","2",,"5",,"0","False",,,"False"
"47",,"Vis","Les Attaches Viscan","Boîte de 2000","VS20.1015CA.V+","Vis #10 x 1 1/2""","3",,"Magasin","3",,,,"0","False",,,"False"
"48",,"Vis","Les Attaches Viscan","Boîte de 250","VS26.1831","Tire fond HEX SS18,8 1/4 x 5""","5",,"Magasin","5",,"0",,,"False",,,"False"
"49",,"Autre","Rembourrage d'auto Daigle inc.","Unité","OUT-0037","Spatule de démanchage","0",,"Magasin","0",,,,"0","False",,,"False"
"50",,"Vision","Euro Architectural Components","Unité","SSGC411XX16S","Attache vision bas (Stainless)","12",,"Magasin","12",,"0",,"0","False",,,"False"
"51","Stainless","Vision","Euro Architectural Components","Unité","SSPFEB180","Attache face à face Stainless 10-12mm","9",,"Magasin","9",,"0",,"0","False",,,"False"
"52",,"Vision","Euro Architectural Components","Unité","SSGC431XX16S","Attache vision haut (Stainless)","16",,"Magasin","16",,"0",,"0","False",,,"False"
"53",,"Vision","Euro Architectural Components","Unité","SSGC411XX16B","Attache vision bas (Noir)","41",,"Magasin","41",,"0",,"0","False",,,"False"
"54",,"Vision","Euro Architectural Components","Unité","SSGC431XX16B","Attache vision haut (Noir)","34",,"Magasin","34",,"0",,"0","False",,,"False"
"55","Noir","Vision","Euro Architectural Components","Unité","SSSPIGOTS6B","Spigot 6"" - NOIR","0",,"Magasin","0",,"0",,,"False",,,"False"
"56",,"Vision","Euro Architectural Components","Unité","SSPFEBWALLS","Connecteur pour verre 10-12mm de départ au mur","0",,"Magasin","0",,"0",,"0","False",,,"False"
"57",,"Vision","Euro Architectural Components","Unité","SSWB1301116S","SUPPORT MURAL FIXE EN ACIER INOXYDABLE 3″ X 3″ AVEC PLAQUE À 3 TROUS (SS316)","2",,"Magasin","2",,"0",,,"False",,,"False"
"58","Stainless","Vision","Euro Architectural Components","Unité","SSGCH40116S","Attache Swivell","5",,"Magasin","5",,"0",,"0","False",,,"False"
"59",,"Vision","Euro Architectural Components","Unité","SSPFGL90SSS","LOQUET EN ACIER INOXYDABLE VERRE À VERRE À 90° – FINI SATINÉ","1",,"Magasin","1",,"0",,"0","False",,,"False"
"60",,"Vision","SM Tech","Rouleau","Coïl aluminium","Coïl aluminium pour fabrication équerre","2",,"Magasin","2",,,,,"False",,,"False"
"61",,"Emballage","Les Emballages Carrousel","Unité","999-A11040","U-Film 48"" Clair 50lbs/rouleau","13",,"Magasin","13",,"6",,"0","False",,,"False"
"62",,"Emballage","Les Emballages Carrousel","Rouleau","3013018","Polytubing 18"" Clair","2",,"Magasin","2",,"1",,"0","False",,,"False"
"63",,"Emballage","Les Emballages Carrousel","Unité","3013006","Polytubing 6"" Clair","3",,"Magasin","3",,"1",,"0","False",,,"False"
"64","Non-Peint","Embout","Fonderie Fondalco inc.","Unité","01-004-BOUT-NP","Embout de main classique Non-peint","20",,"Magasin","20","0","40",,"0","False",,,"False"
"65",,"Équerres","SM Tech","Unité","280-001","Équerre fixe1/8"" x 1-1/8"" x 5"" 95°","4,600",,"Magasin","4,600",,"5,000",,"0","False",,,"Vrai"
"66",,"Équerres","SM Tech","Unité","280-002","Équerre fixe 1/8"" x 1-1/8"" x 5"" 126°","1,100",,"Magasin","1,100",,"5,000",,"0","False",,,"False"
"67",,"Équerres","SM Tech","Unité","280-003","Équerre fixe1/8"" x 1-1/8"" x 5"" droite","4,345",,"Magasin","4,345",,"5,000",,"0","False",,,"Vrai"
"68","Argile","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963473AR","Cache-vis argile",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"69","Brun commercial","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963473BC","Cache-vis Brun commercial",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"70","Blanc","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963473BL","Cache-vis Blanc",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"71","Gris charbon","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963473GC","Cache-vis Gris charbon",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"72","Gris métallique","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963473GM","Cahe-vis Gris métallique",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"73","Noir","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963473NO","Cahe-vis Noir",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"74","Argile","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963474AR","Track du haut Argile",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"75","Brun commercial","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963474BC","Track du haut Bru commercial",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"76","Blanc","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963474BL","Track du haut Blanc","0",,"Entrepôt",,,,"Mur",,"False",,,"False"
"77","Gris charbon","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963474GC","Track du haut Gris charbon",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"78","Gris métallique","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963474GM","Track du haut Gris métallique",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"79","Noir","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963474NO","Track du haut Noir",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"80","Argile","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963475AR","Main classique Argile",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"81","Brun commercial","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963475BC","Main classique Brun commercial",,,"Entrepôt",,,,"Mur",,"Vrai","963475BL",,"False"
"82","Blanc","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963475BL","Main classique Blanc",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"83","Gris charbon","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963475GC","Main classique Gris charbon",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"84","Noir","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","963475NO","Main classique Noir",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"85","Argile","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","964702AR","Main urbain Argile",,,"Entrepôt",,"0",,"Mur",,"Vrai",,,"False"
"86","Brun commercial","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","964702BC","Main urbaine Brun commercial",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"87","Blanc","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","964702BL","Main urbaine Blanc",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"88","Gris charbon","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","964702GC","Main urbaine Gris charbon",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"89","Gris métallique","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","964702GM","Main urbaine Gris métallique",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"90","Noir","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","964702NO","Main urbaine Noir",,,"Entrepôt",,,,"Mur",,"False",,,"False"
