"Title","DateNonConformite","NoProjet","Departement","Responsable","Non-Conformite","Description","EnvoiMail","AjoutMesureCorrective","Correction","DateCorrection","Confirmation"
"1","2022-01-28","220022","Vente","Daniel Doré","Erreur de prix","Manque installation barrière","Non","Non","Changement fait par Daniel","2022-02-02","Oui"
"2","2022-01-31","211223","Vente","Daniel Doré","Erreur de prix","Manque les plaques joint et les joints de fibres","Non","Non","Changement fait par Daniel","2022-02-02","Oui"
"3","2022-01-31","220046","Ventes","Daniel Doré","Erreur de prix","Manque 52 p2 de fibre de verre","Non","Non","Changement fait par Daniel","2022-02-02","Oui"
"4","2022-02-01","220067","Ventes","Guy Drolet","Produit","barrière en 32'' de haut au lieu de 36''","Non","Non","Changement fait par Guy","2022-02-02","Oui"
"5","2022-02-07","220072","Ventes","Daniel Doré","Erreur de prix","Il manque 3 poteaux et 3 frais de descente","Non","Non","Changement fait par Daniel","2022-02-02","Oui"
"6","2022-02-07","211192","Ventes","Daniel Doré","Produit","Endroit non déneigé pour le prise de mesure","Non","Non",,,"Oui"
"7","2022-02-08","210891","Ventes","Martin Boiteau","Produit","Vendu des section de verre 66'' de haut sans attaches au centre 3191,55$","Non","Non",,,"Oui"
"8","2022-02-10","220016","Ventes","Daniel Doré","Produit","Projet à 69 km du bureau et pas d'extra pour prise de mesure et installation","Non","Non",,,"Oui"
"9","2022-02-14","220077","Ventes","Daniel Doré","Erreur de quantité","manque des morceaux pour le plancher d'alluminium et le prix de la prise de mesure pas assez élevé","Non","Non",,,"Oui"
"10","2022-02-14","220078","Ventes","Daniel Doré","Erreur de quantité","manque des morceaux pour le plancher d'alluminium et le prix de la prise de mesure pas assez élevé","Non","Non",,,"Oui"
"11","2022-02-14","220042","Ventes","Guy Drolet","Produit","le client voulait la section en verre","Non","Non",,,"Oui"
"12","2022-02-16","211206","Ventes","Martin Boiteau","Décharge","Annexe de décharge de non responsabilité pour la dimension de barrière non signé par le client","Non","Non",,,"Oui"
"13","2022-02-22","211204","Ventes","Daniel Doré","Produit","selon la configuration inpossible à faire en main continue avec des poteaux 1-3/4''","Non","Non",,,"Oui"
"14","2022-03-01","220099","Ventes","Daniel Doré","Produit","sur le plan colonne de 108'' mais c'est le code de la 96'' sur la commande","Non","Non",,,"Oui"
"15","2022-03-08","220102","Ventes","Daniel Doré","Produit","c'est de la main double horizon mais chargé main simple horizon","Non","Non",,,"Oui"
"16","2022-03-14","220114","Ventes","Guy Drolet","Produit","Sur le croquis du vendeur c'est inscrit main Urbaine mais dans la commande c'est de la main Horizon corimation reçu de la main Horizon 14 mars","Non","Non",,,"Oui"
"17","2022-03-16","220115","Ventes","Daniel Doré","Installation","Manque l'installation de la main double","Non","Non",,,"Oui"
"18","2022-03-17","220110","Ventes","Daniel Doré","Commande","Manque 2 frais de descente","Non","Non",,,"Oui"
"19","2022-04-15","200125","Production","Production","Commande","test","Oui","Non",,,"Oui"
"20","2022-05-30","220411","Ventes","Daniel Doré","Erreur code","instalation minimum dans le code INS-Beton chargé 325.00$ au lieu de 350.00$","Oui","Non",,,"Oui"
"21","2022-05-30","220167","Ventes","Daniel Doré","Produit","Manque la couleur des marches de fibres ","Oui","Non",,,"Oui"
"22","2022-05-30","220034","Ventes","Daniel Doré","Erreur de quantité","manque 1 barrière dans la commande","Oui","Non",,,"Oui"
"23","2022-05-30","220105","Mesures","Mesureurs","Hauteur section","Fabrication des rampes en 42'' au lieu de 43'' vu les pentes.","Oui","Oui",,"2022-05-31","Oui"
"24","2022-05-31","220330","Livraison","Production","Livraison sans autorisation","Nous avons pris la chance de livrer sans autorisation du client donc nous devons aller rechercher les rampes au chantier et les livrer chez l'entrepreneur.","Oui","Non",,,"Oui"
"25","2022-06-02","220435","Ventes","Guy Drolet","Commande","manque l'installation 70' de la main double. 
Si fibre en 2 mcx manque la plaque joint.","Oui","Non",,,"Oui"
"26","2022-06-02","220436","Ventes","Guy Drolet","Commande","Manque installation main double","Oui","Non",,,"Oui"
"27","2022-06-02","220179","Production","Production","poteau percé","Descente à venir mais les poteaux des descentes ont étés percés dans le haut donc plus d'ajustement sur place","Oui","Non",,,"Oui"
"28","2022-06-03","220458","Ventes","Daniel Doré","Erreur de produit","On demande un poteau de 3'' x  50'' mais chargé en 42''","Oui","Non",,,"Oui"
"29","2022-06-03","220432","Ventes","Daniel Doré","Erreur de prix","l'installation aurait dû être chargé au pied car 28,5' pour un montant de 441.75$ et non 300.00$","Oui","Non",,,"Oui"
"30","2022-06-03","220439","Ventes","Daniel Doré","Erreur de prix","Chargé 2 fois les prises de mesures et l'installation","Oui","Non",,,"Oui"
"31","2022-06-03","210935","Ventes","Daniel Doré","Installation","Manque installation de la barrière","Oui","Non",,,"Oui"
"32","2022-06-06","211098","Ventes","Daniel Doré","Erreur de prix","Prise de mesure de 5 balcons à 65$ aurait dû être 95$ selon le tableau pour prise de mesure","Oui","Non",,,"Oui"
"33","2022-06-06","220414","Ventes","Daniel Doré","Erreur Couleur","ambiguïté pour la partie garage main classique Noir mais poteaux Blanc","Oui","Non",,,"Oui"
"34","2022-06-06","220469","Ventes","Guy Drolet","Produit","vendu main urbaine en verre dépoli hauteur 72'' sans attache au centre. Manque 32 attaches","Oui","Non",,,"Oui"
"35","2022-06-06","220465","Ventes","Guy Drolet","Kilométrage","Job à 76 km oublié de mettre l'extra pour la prise de mesure et la livraison","Oui","Non",,,"Oui"
"36","2022-06-07","220409","Ventes","Daniel Doré","Produit","Manque la main double sur la commande","Oui","Non",,,"Oui"
"37","2022-06-09","210999","Production","Production","Mauvaise mesure de coupe","la main double a été fait avec la mesure du bas de la rampes et non celle du haut","Oui","Non",,,"Oui"
"38","2022-06-09","210999","Production","Production","Quincaillerie manquante","l'installateur a recu les cap à poteau 1-3/4'' mai c'est demandé 3''","Oui","Non",,,"Oui"
"39","2022-06-10","220495","Ventes","Guy Drolet","Erreur code","vendu des poteaux seulement mais avec le code PO1H72NO au lieu de PO1H72NO/UNITE","Oui","Non",,,"Oui"
"40","2022-06-10","220500","Ventes","Guy Drolet","Produit","Nous devons absolument mettre de la vision urbaine dans un escalier car ça prend une main","Oui","Non",,,"Oui"
"41","2022-06-13","220437","Production","Production","Couleur","Barrière et poteaux couleur Blanc mais envoyé des cap Noir","Oui","Non",,,"Oui"
"42","2022-06-14","220034","Mesures","Mesureurs","Mauvaise mesure de section","Tour de piscine sur dalle de béton en verre section max 48'' x 48'' de haut non respecté","Oui","Non",,,"Oui"
"43","2022-06-14","220413","MEP","Catherine Denis","Erreur dessin","Commande demandé tout en latte horizontale hauteur 72'' mais 1 section dessiné et produite en latte verticales et horizontales","Oui","Non",,,"Oui"
"44","2022-06-14","220505","Ventes","Martin Boiteau","Erreur de prix","le client va rapporter une section à l'usine pour la faire couper mais aucun temps d'usine n'est chargé","Oui","Non",,,"Oui"
"45","2022-06-14","220505","Ventes","Martin Boiteau","Erreur code","Sur le croquis il est inscrit penture ressort mais code de la standard sur la commande","Oui","Non",,,"Oui"
"46","2022-06-15","220132","Ventes","Daniel Doré","Erreur Couleur","Les rampes 36'' sont Brun Commercial mais les poteaux sont Noir","Oui","Non",,,"Oui"
