"Title","Departement","TypeNC"
"3","Ventes","Produit"
"4","Ventes","Décharge"
"5","Ventes","Erreur de quantité"
"6","Ventes","Erreur de produit"
"7","Ventes","Kilométrage"
"8","Ventes","Prise de mesure"
"9","Ventes","Erreur de prix"
"12","Ventes","Commande"
"13","Ventes","Installation"
"14","Production","Mauvaise mesure de coupe"
"15","Production","Quincaillerie manquante"
"16","Installation","Verre brisé"
"17","Installation","Section endommagée"
"18","Fournisseur","Pentures rouillées"
"19","Livraison","Manque un paquet"
"20","Livraison","Livré mauvaise commande"
"21","Mesures","Mauvaise mesure de section"
"22","Ventes","Erreur code"
"23","Mesures","Hauteur section"
"24","Livraison","Livraison sans autorisation"
"25","Production","poteau percé"
"26","Ventes","Erreur Couleur"
"27","Production","Couleur"
"28","MEP","Erreur dessin"
"30","Production","Erreur hauteur"
"31","Production","Equerres"
"32","Production","Erreur produit"
"33","Production","verre monter à l'envers"
"34","Production","Erreur étiquetage"
"35","Mesures","Erreur Pente"
"36","Installation","Installation"
"38","Ventes","Infaisabilité"
"39","Commande","Commande"
"40","Production","Produit endommagé"
"41","Mesures","mauvaise entente avec client"
"42","Production","Section manquante"
"43","Ventes","information dessin"
"44","Mesures","Mauvaise identification du dégagement"
"45","Ventes","mauvaise entente avec client"
"46","Ventes","Produit manquant"
"47","Ventes","Note manquante"
"48","Installation","Point de départ non-respecté"
"49","Ventes","Règlementation"
"50","Production","Oublier de donner produit"
"51","Ventes","Pas prêt à mesurer"
"52","Mesures","Erreur de mesures"
"53","Production","Poteaux à l'envers sur barrière"
"54","Production","Verre non strapper"
"55","Production","Erreur d'assemblage"
"56","MEP","Erreur de calcul"
"57","Ventes","Pas de feuille de suivi"
"58","Ventes","Adresse du livrable manquante"
"59","Ventes","Date de délai pas respecté"
"60","Commande","Pas d'indication sur la prise de mesure"
"61","Ventes","Pas d'nformation sur la prise de mesure"
"62","Ventes","Nouveau client pas accompte"
