"Title","Unité","QtéPar","Description"
"2","Unité","1","Unité"
"3","Boîte","1,000","Boîte de 1000"
"4","Boîte","100","Boîte de 100"
"5","Boîte","500","Boîte de 500"
"6","Paquet","100","Paquet de 100"
"7","Lg 17.48","1","Longueur de 17.48 pieds"
"8","Lg 14.83","1","Longueur de 14.83 pieds"
"9","Boîte","1","Boîte"
"10","Rouleau","1","Rouleau"
"11","Boîte","2","Boîte de 2"
"12","Paquet","25","Paquet de 25"
"13","Boîte","250","Boîte de 250"
"14","Boîte","2,000","Boîte de 2000"
"15","Boîte","300","Boîe de 300"
"16","Boîte","7,000","Boîte de 7000"
"17","Boîte","1,500","Boîte de 1500"
"18","Boîte","700","Boîte de 700"
"19","Boîte","50","Boîte de 50"
"20","Boîte","1,300","Boîte de 1300"
"21","Boîte","5,000","Boîte de 5000"
"22","Boîte","3,000","Boîte de 3000"
"23","Boîte","650","Boîte de 650"
"24","Lg 24'","1","Longueur de 24'"
"25","Longueur de 52''","1","Longueur de 52''"
"26","Boîte","400","Boîte de 400"
"27","Lgr 16'","1","Longueur de 16'"
"28","Lg 14'","1","Longueur de 14'"
"29","Lg 12'","1","Longueur de 12'"
"30","Lg 10'","1","Longueur de 10'"
"31","Lg 8'","1","Longueur de 8'"
"32","Lg 6'","1","Longueur de 6'"
"33","Paquet","10","Paquet de 10"
"34","Boîte","6,000","Boîte de 6000"
"35","Longueur 48""","1","Longueur de 48"""
"36","BOIÎTE","12","BOÎTE DE 12"
"37","Boîte","4,000","Boîte de 4000"
